Price,Demand,Country
8.978577177,5.51898775,Country1
5.888689155,9.574004737,Country1
8.726054551,6.490463893,Country1
10.41983085,8.270087437,Country1
10.43752709,5.769708137,Country1
8.797690713,8.161426271,Country1
8.503998824,7.767134751,Country1
8.263703343,6.795681767,Country1
9.778629175,9.529858817,Country1
8.831491109,9.831618013,Country1
9.598869825,7.78160025,Country1
8.85815218,5.834783621,Country1
9.830520681,8.008935461,Country1
8.13194688,8.159874127,Country1
8.028395093,7.672249513,Country1
10.06934508,8.425585277,Country1
7.269395801,10.04740727,Country1
7.817328681,8.612991545,Country1
6.101533145,7.286147569,Country1
6.790432688,6.10507702,Country1
7.238709463,7.761284372,Country1
6.226168379,10.91632434,Country1
7.777807476,10.14246294,Country1
8.221393027,7.51464731,Country1
7.676993867,5.281340864,Country1
10.27022112,9.645432532,Country1
8.515494839,8.050251751,Country1
6.940834548,7.247224034,Country1
7.503136983,7.843822392,Country1
6.71723059,7.563254294,Country1
7.470681451,9.045549168,Country1
6.390848742,11.23250073,Country1
7.381963807,6.117761483,Country1
8.874070157,6.372689359,Country1
8.102615813,7.232309468,Country1
7.94313272,6.809520241,Country1
6.782589331,7.424667708,Country1
7.820239506,6.699779627,Country1
5.980777811,7.845682025,Country1
8.886083304,6.539018049,Country1
8.92014334,9.165456249,Country1
9.433117068,6.731949763,Country1
6.980975997,8.331882534,Country1
10.35297346,6.624531971,Country1
9.046284648,8.325415172,Country1
6.233830934,7.284081903,Country1
9.014705003,6.731659489,Country1
6.680216839,7.124178052,Country1
8.097705265,9.806866204,Country1
9.642334804,8.491296054,Country1
7.658750956,7.559010646,Country1
8.978517832,8.71524452,Country1
6.475666904,7.54311882,Country1
6.253229648,10.97407392,Country1
10.49212933,8.036552051,Country1
6.914614385,8.631249726,Country1
7.661368825,8.921414445,Country1
9.342694117,6.271679806,Country1
8.256940857,7.672684304,Country1
8.015276453,8.749467113,Country1
7.157442393,8.107405534,Country1
6.383680625,8.707307729,Country1
7.311879846,9.311523381,Country1
8.330174684,8.790798784,Country1
8.22126179,10.17079931,Country1
7.412363946,9.391028256,Country1
6.393914263,10.96000223,Country1
10.84397614,5.821877047,Country1
7.283056678,9.552238733,Country1
6.954600098,9.630224585,Country1
9.597329982,8.369645101,Country1
7.69885579,8.283769835,Country1
8.344226542,7.340847447,Country1
9.44522536,9.018738276,Country1
8.313947039,8.072545162,Country1
8.472472477,6.991405382,Country1
9.917075966,6.947049972,Country1
8.279184133,7.382020959,Country1
6.793345609,8.000830439,Country1
7.275184561,6.85933182,Country1
7.922261585,7.932211192,Country1
9.407158969,6.430109515,Country1
6.734585798,6.262321788,Country1
7.582491797,10.30345763,Country1
9.762693206,9.708063377,Country1
5.970062706,8.066416846,Country1
9.402515635,8.989569913,Country1
6.601187147,9.203551377,Country1
8.704133477,7.43792113,Country1
10.06068062,7.809542138,Country1
6.830765986,7.710399518,Country1
9.997662525,7.696810428,Country1
6.616603461,8.713898463,Country1
7.63372852,7.935771665,Country1
6.06908521,8.484502051,Country1
10.00453649,9.204721372,Country1
7.521167599,8.57799706,Country1
8.510629263,6.887259924,Country1
8.903129853,8.34463533,Country1
9.530045448,7.17632594,Country1
5.961816814,10.46391191,Country1
8.684529402,8.804704899,Country1
6.115767449,10.32298702,Country1
9.054838748,7.76626709,Country1
9.090386915,9.340547611,Country1
7.435988176,9.27990615,Country1
9.048568649,8.477825971,Country1
7.254235042,8.151934645,Country1
9.290847064,6.558736193,Country1
6.82352045,10.37121341,Country1
9.177785582,9.348318092,Country1
8.372888134,7.139888738,Country1
8.679917558,7.454277368,Country1
5.881341038,7.626597343,Country1
10.91300166,8.15009716,Country1
