URL,Outcome,Target,FundingRaised,Backers,Comments,Location,Subtype,Duration,PhotosNumber,NumberOfProducts,Price,Gender,Created,Backed,FbNumber,IsVideoAvailable,VideoURL,VideoLength,Human,Computer,Energy,Content,Upset,Angry,MaxAmpVol
https://www.kickstarter.com/projects/sndr/sndrblock-your-secure-elevator-to-the-cloud?ref=category_location,1,68000,99943,238,12.00,NY,Hardware,31,52,13,179,M,0,0,0,1,https://ksr-video.imgix.net/projects/2575513/video-744162-h264_high.mp4,250,1,1,4.652892562,0,0.719008264,0,20.85123967
https://www.kickstarter.com/projects/sfen/able-hd-portable-hd-monitor-for-laptop-and-smartph?ref=category_location,1,5000,99720,759,364.00,CA,Hardware,35,22,13,110,U,0,0,8,1,https://ksr-video.imgix.net/projects/621928/video-273745-h264_high.mp4,145,0,1,25.11111111,11.2962963,0,5.87037037,22.01851852
https://www.kickstarter.com/projects/6735955/nrg3-a-3d-printable-assembly-tool?ref=category_location,0,45000,9933,114,7.00,CA,3DPrinting,30,5,18,75,U,0,2,0,1,https://ksr-video.imgix.net/projects/618988/video-281139-h264_high.mp4,196,1,1,5.038834951,0,3.466019417,0.019417476,29.29126214
https://www.kickstarter.com/projects/1702920777/put-homemade-lunar-lander-on-the-moon-win-race-pha?ref=category_location,0,60000,9911,17,1.00,CA,Software,15,0,4,100,M,3,1,0,1,https://ksr-video.imgix.net/projects/12718/video-19313-h264_high.mp4,599,1,1,6.410714286,0,1.142857143,0,15.53571429
https://www.kickstarter.com/projects/oneatcentralpark/one-at-central-park?ref=category_location,0,100000,99065.5,739,8.00,NY,Technology,45,5,10,375,F,0,19,0,1,https://ksr-video.imgix.net/projects/552562/video-254286-h264_high.mp4,220,1,0,4.22826087,0,0.880434783,0.434782609,40.97826087
https://www.kickstarter.com/projects/miitowne/mii-towne?ref=category_location,0,110000,99,3,0.00,TX,Apps,30,0,4,35,M,0,0,0,1,https://ksr-video.imgix.net/projects/1907711/video-548503-h264_high.mp4,198,0,1,2.957446809,0,4.776595745,0,74.89361702
https://www.kickstarter.com/projects/908512003/neural-enhanced-observation-neo?ref=category_location,0,5000,99,2,0.00,CA,Technology,29,0,9,98,M,0,0,0,1,https://ksr-video.imgix.net/projects/2493626/video-672265-h264_high.mp4,153,1,0,2.362068966,0,4.293103448,0,70.39655172
https://www.kickstarter.com/projects/1937366080/flameflex-0?ref=category_location,1,5000,9889,109,43.00,NY,Gadgets,10,21,10,105.5,U,2,0,0,1,https://ksr-video.imgix.net/projects/2759230/video-734182-h264_high.mp4,105,1,1,2,0,2.270833333,0,41.85416667
https://www.kickstarter.com/projects/pocketappeal/pivot-slim-simple-concept-wallet?ref=category_location,0,5000,988,13,1.00,NY,Gadgets,28,8,7,79,U,3,1,0,1,https://ksr-video.imgix.net/projects/2731059/video-732134-h264_high.mp4,46,1,0,2.85,0,3.35,0,42.3
https://www.kickstarter.com/projects/125326427/the-junk-punch-handwired-pre-amp-boost-by-hazeleff?ref=category_location,0,3200,987,10,6.00,CA,Technology,30,5,7,60,M,4,8,0,1,https://ksr-video.imgix.net/projects/514972/video-230490-h264_high.mp4,295,0,0,5.218181818,0.096969697,1.424242424,0,51.37575758
