Lat,Lon
22.2045509,114.0264339
22.204749,114.024115
22.2055882,114.0327959
22.20715,114.032718
22.20846,114.21305
22.2165055,114.2055438
22.2168561,114.217182
22.2170647,114.2170843
22.217127,114.206584
22.217164,114.204871
22.2171759,114.2129859
22.2172467,114.2130208
22.2173211,114.2054161
22.2173925,114.2048936
22.2174123,114.213164
22.2174915,114.2130039
22.2175226,114.2132065
22.2176011,114.2127769
22.2177304,114.0279991
22.21773,114.028
22.2177304,114.0279991
22.2177405,114.2132065
22.2178206,114.2129743
22.217876,114.2134298
22.2181328,114.2132065
22.218162,114.2130208
22.2182205,114.2126492
22.2182736,114.2122429
22.2183333,114.2048704
22.218344,114.2126957
22.2183919,114.2123903
22.2184227,114.2123327
22.2185403,114.2125564
22.2185522,114.2114774
22.2185695,114.2114558
22.2185847,114.2117204
22.2186952,114.2113797
22.2187799,114.2126957
22.2187943,114.2125455
22.2188014,114.2107976
22.2188601,114.2141573
22.2189241,114.2115706
22.2193489,114.2035861
22.219835,114.2032217
22.2199458,114.2109689
22.220287,114.2129511
22.2203884,114.2113779
22.2205169,114.2119062
22.220927,114.212995
22.22093,114.21344
22.221326,114.211603
22.221707,114.21285
22.223609,114.213847
22.225609,114.216397
22.2258601,114.2156918
22.2265348,114.216318
22.22655,114.217215
22.2268759,114.2166431
22.227718,114.2171075
22.22773,114.20099
22.22816,114.20044
22.2285929,114.1996457
22.2291783,114.199159
22.22918,114.19916
22.2291783,114.199159
22.22918,114.19916
22.22947,114.21879
22.2300496,114.2188684
22.23093,114.2258
22.233288,114.226427
22.2335392,114.2247226
22.2336289,114.1994386
22.2344114,114.200621
22.2350469,113.949444
22.2352261,114.1996341
22.2354705,113.9480009
22.2361601,113.9618014
22.2363509,113.9510952
22.236351,113.94804
22.2365598,113.9502021
22.23735,114.19969
22.237366,114.200373
22.2373758,113.9626843
22.2374013,114.1888247
22.2376251,114.1904502
22.2378919,114.192633
22.237972,114.200141
22.23802,114.19848
22.2385014,114.1972075
22.23857,114.2016
22.2386,114.19974
22.2387227,114.1898464
22.2391516,114.1896142
22.239518,114.18721
22.23966,114.19152
22.2398713,114.1891962
22.2402756,114.1871338
22.2403847,114.1885997
22.2406558,114.1875888
22.24104,114.15896
22.2430894,114.1588912
22.2432666,114.1532022
22.243289,114.1540144
22.243347,114.1542002
22.2434,114.15823
22.2434387,114.1535851
22.2434521,114.1545021
22.243541,114.152503
22.2435819,114.1535113
22.2435855,114.1537619
22.2435945,114.1526194
22.2436014,114.1549675
22.2436221,114.1912629
22.243637,114.1551291
22.2436486,114.1540841
22.2437066,114.1542698
22.2437284,114.1544092
22.2437701,114.1544905
22.2438216,114.1553876
22.2438471,114.1561989
22.243859,114.1546879
22.2438636,114.1555231
22.2439243,114.1548272
22.2439477,114.1556215
22.2439489,114.1554624
22.2440155,114.1562614
22.2440186,114.1550594
22.2440977,114.1562206
22.2441129,114.1552917
22.2441473,114.1554194
22.2441739,114.1916345
22.2441994,114.1564064
22.2442317,114.1568941
22.2442333,114.1572308
22.244238,114.1556748
22.2442864,114.1566851
22.2442997,114.1558374
22.244323,114.1570872
22.244326,114.1571945
22.2443278,114.1573502
22.2443612,114.1561393
22.2443884,114.1563135
22.2444223,114.1571379
22.2444368,114.1571843
22.2444612,114.1561277
22.2444626,114.1566038
22.2445099,114.1565805
22.2445461,114.1567663
22.2445699,114.1565457
22.2445751,114.1568592
22.2445966,114.1573481
22.2446331,114.157045
22.2446502,114.1560348
22.2447094,114.1571147
22.24474,114.14628
22.2447758,114.1567304
22.2452886,114.1921686
22.2458466,114.1646505
22.24603,114.16361
22.2462382,114.1789322
22.24642,114.19145
22.247162,114.1566445
22.2471797,114.1574525
22.247188,114.1574747
22.2472004,114.1567315
22.247201,114.156546
22.2472673,114.1560864
22.2473799,114.1575365
22.2474854,114.159495
22.2475013,114.1577301
22.2475757,114.1803372
22.247651,114.158307
22.2476806,114.1783226
22.2477326,114.1651636
22.2477477,114.1560927
22.247778,114.1585989
22.2477813,114.1550588
22.24782,114.1559369
22.2478262,114.1555239
22.2478548,114.1561739
22.2478893,114.1587287
22.2480028,114.1549989
22.2480042,114.1551521
22.24804,114.1551743
22.2480616,114.1559347
22.2481473,114.1770597
22.248158,114.159572
22.2482727,114.1561507
22.2483249,114.1824621
22.24832,114.18246
22.2484263,114.155915
22.24844,114.15178
22.24848,114.15329
22.24849,114.1523
22.2485413,114.1529155
22.2485497,114.1549433
22.2486434,114.1551611
22.2486735,114.1560767
22.2487026,114.1492078
22.248721,114.1558302
22.248794,114.1809758
22.2488003,114.1780266
22.2488352,114.1558665
22.2488831,114.1561509
22.2488957,114.181046
22.2489081,114.1827017
22.2489627,114.1488335
22.24898,114.14843
22.2489792,114.1795488
22.2490583,114.1550362
22.2491441,114.148225
22.24916,114.14793
22.2492006,114.1481295
22.2492505,114.1494248
22.2493272,114.177864
22.2493714,114.1487427
22.2494213,114.1549435
22.2494245,114.1551211
22.2494484,114.1482954
22.249452,114.182547
22.2494732,114.1486498
22.2494804,114.148882
22.2495028,114.1479066
22.2495047,114.1492815
22.2495822,114.1487891
22.2495946,114.1547408
22.2496212,114.1554774
22.2496314,114.15509
22.2496358,114.1553846
22.24964,114.17873
22.2496801,114.1490337
22.2496986,114.1486033
22.2497272,114.1546007
22.249728,114.148232
22.2498036,114.1491282
22.2498077,114.148464
22.2498229,114.1553729
22.2498335,114.1478834
22.2499209,114.1547198
22.2499491,114.1488123
22.24999,114.14935
22.2503868,114.1831818
22.2508715,114.192842
22.250878,114.1936315
22.2508908,114.1917506
22.2509735,114.1792457
22.2510716,114.1804669
22.2515138,114.1795336
22.2515911,114.1788769
22.25218,114.1397
22.2524748,114.1827562
22.252528,114.1390583
22.25305,114.1934
22.2551539,114.193469
22.2560398,114.1939334
22.257,114.20012
22.25716,114.13941
22.25723,114.13735
22.257551,114.193799
22.2583513,114.1893588
22.25947,114.13263
22.2603978,114.1511347
22.2606721,114.1486962
22.2610347,114.1497181
22.261222,114.2361242
22.2615128,114.2359384
22.2615707,114.2335004
22.2621829,114.1868973
22.2623532,114.1907985
22.2623801,114.189382
22.2624183,114.1899131
22.26245,114.17083
22.2626599,114.2364028
22.262717,114.146736
22.26272,114.14674
22.2629917,114.189858
22.2631399,114.1896837
22.263169,114.2359384
22.2631696,114.0018403
22.26319,114.13232
22.2631916,114.1845055
22.2631923,114.1480992
22.2632349,114.1805054
22.2633342,114.128561
22.263493,114.0017604
22.2635093,114.1481021
22.2635133,114.1896607
22.263618,114.238361
22.2636927,114.0009008
22.2637031,114.1887318
22.2637102,114.188964
22.2637678,114.1894284
22.2638185,114.1492071
22.2638237,114.0011796
22.2638435,114.1337865
22.2639436,114.0008311
22.264,114.23701
22.2641145,114.1879191
22.2641197,114.1888619
22.2641385,114.1892891
22.264144,114.001774
22.2641581,114.000715
22.2641728,114.0011796
22.2642446,114.0016567
22.2643106,114.1877049
22.264362,114.1881875
22.2643626,114.1882101
22.2644141,114.1276552
22.2644165,114.2404317
22.2644454,114.0006917
22.26458,114.18841
22.2645961,114.1894284
22.2646231,114.1880012
22.26463,114.1892
22.2647189,114.1842244
22.2647702,114.154386
22.2648222,114.188546
22.26491,114.18277
22.2650882,114.1878262
22.2650951,114.1889367
22.2651711,114.2452027
22.2651754,114.2447615
22.2652223,114.1889391
22.2652324,114.2455045
22.2653074,114.2439257
22.2653448,114.1891033
22.2654383,114.1508109
22.2655093,114.2448544
22.2655633,114.2452027
22.265581,114.2455045
22.2656633,114.1918551
22.26567,114.18913
22.2657237,114.182195
22.2657495,114.234232
22.2659496,114.1874778
22.265989,113.99861
22.266,114.18914
22.2659984,114.1891439
22.266,114.18914
22.2660191,114.1878873
22.2660675,114.1888745
22.2661593,114.188396
22.2661912,114.1891266
22.26626,114.23471
22.2662768,114.1887314
22.2664273,114.1891498
22.2664386,114.128391
22.2664923,114.1876416
22.2664984,113.941751
22.2665,113.94175
22.2664984,113.941751
22.2665,113.94175
22.2664984,113.941751
22.2665,113.94175
22.2664984,113.941751
22.2665,113.94175
22.2664984,113.941751
22.2665,113.94175
22.2664984,113.941751
